runtime,genre,rating,about,votes,gross_earn
125 min,"Action, Crime, Thriller",6.6,Two NYC cops arrest a Yakuza member and must escort him when he's extradited to Japan.,"54,995",$46.21M
110 min,"Drama, Sport",6.8,"At the NFL Draft, General Manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.","60,424",$28.83M
93 min,"Drama, Romance",6.5,"The story follows a married couple, apart for a night while the husband takes a business trip with a colleague to whom he's attracted. While he's resisting temptation, his wife encounters her past love.","48,802",$0.10M
106 min,"Biography, Drama, Music",6.5,A coming-of-age biographical film about the 1970s teenage all-girl rock band,"49,143",$3.57M
113 min,"Comedy, Western",6.8,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.","56,771",$124.03M
92 min,"Action, Crime, Thriller",5.7,"After watching their respective partners die, a New Orleans hitman and a Washington, D.C. detective form an alliance in order to bring down their common enemy.","50,097",$9.48M
125 min,Drama,7.5,"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.","44,261",$15.65M
82 min,"Comedy, Horror",3.4,"A spoof of vampire-themed movies. Teenager, Becca finds herself torn between 2 boys. As she and her friends wrestle with a number of different dramas, everything comes to a head at their prom.","48,972",$36.66M
95 min,"Comedy, Romance",6.3,"In New York City, a single mom captivates her new neighbor, a much younger man.","48,589",
83 min,"Action, Adventure, Comedy",6.2,A new assignment forces a top spy to team up with his football hooligan brother.,"1,02,140",$6.86M
88 min,"Action, Comedy, Crime",5.6,Two mismatched security guards are thrown together to bust a smuggling operation.,"50,965",$35.76M
86 min,"Drama, Sci-Fi, Thriller",6.7,"In the 25th century, a time when people have designations instead of names, a man, THX 1138, and a woman, LUH 3417, rebel against their rigidly-controlled society.","51,595",$2.44M
118 min,Comedy,6,Two sisters decide to throw one last house party before their parents sell their family home.,"66,803",$87.04M
58 min,"Horror, Mystery, Thriller",8,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","63,401",
92 min,"Action, Horror, Sci-Fi",4.4,"Jason Voorhees is cryogenically frozen at the beginning of the 21st century, and is discovered in the 25th century and taken to space. He gets thawed, and begins stalking and killing the crew of the spaceship that's transporting him.","56,273",$13.12M
120 min,"Biography, Drama, Thriller",7.1,"After crash-landing in the snowswept Andes, a Uruguayan rugby team have no choice but to turn to desperate measures in order to survive.","56,147",$36.73M
92 min,"Comedy, Fantasy, Horror",6.9,"Elvis Presley and a black ""JFK"" stay in a nursing home where nothing happens - until a wayward Egyptian mummy comes and sucks out the old people's souls thru their anuses. The two decide to fight back.","48,793",$2.00M
95 min,"Adventure, Horror",5.8,"During a rescue mission into the Amazon rainforest, a professor stumbles across lost film shot by a missing documentary crew.","55,568",
87 min,Comedy,5.7,When a new gang moves into town it's up to the screwball police team to stop them.,"55,288",$55.60M
102 min,"Action, Adventure, Romance",7.9,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","51,019",$3.98M
