director,stars
Alejandro G. Iñárritu,"('Michael Keaton',), ('Zach Galifianakis',), ('Edward Norton',), ('Andrea Riseborough',)"
Zack Snyder,"('Jackie Earle Haley',), ('Patrick Wilson',), ('Carla Gugino',), ('Malin Akerman',)"
Michael Curtiz,"('Humphrey Bogart',), ('Ingrid Bergman',), ('Paul Henreid',), ('Claude Rains',)"
Alex Proyas,"('Will Smith',), ('Bridget Moynahan',), ('Bruce Greenwood',), ('Alan Tudyk',)"
Joseph Kosinski,"('Tom Cruise',), ('Morgan Freeman',), ('Andrea Riseborough',), ('Olga Kurylenko',)"
Chris Columbus,"('Daniel Radcliffe',), ('Rupert Grint',), ('Emma Watson',), ('Richard Harris',)"
Ruben Fleischer,"('Jesse Eisenberg',), ('Emma Stone',), ('Woody Harrelson',), ('Abigail Breslin',)"
Pierre Coffin,"('Chris Renaud',), ('Steve Carell',), ('Jason Segel',), ('Russell Brand',)"
John Lasseter,"('Ash Brannon',), ('Lee Unkrich',), ('Tom Hanks',), ('Tim Allen',)"
Mike Newell,"('Daniel Radcliffe',), ('Emma Watson',), ('Rupert Grint',), ('Eric Sykes',)"
Barry Levinson,"('Dustin Hoffman',), ('Tom Cruise',), ('Valeria Golino',), ('Gerald R. Molen',)"
Brett Ratner,"('Patrick Stewart',), ('Hugh Jackman',), ('Halle Berry',), ('Famke Janssen',)"
Denis Villeneuve,"('Hugh Jackman',), ('Jake Gyllenhaal',), ('Viola Davis',), ('Melissa Leo',)"
Sam Raimi,"('Tobey Maguire',), ('Kirsten Dunst',), ('Topher Grace',), ('Thomas Haden Church',)"
Terry Gilliam,"('Terry Jones',), ('Graham Chapman',), ('John Cleese',), ('Eric Idle',)"
Alfonso Cuarón,"('Daniel Radcliffe',), ('Emma Watson',), ('Rupert Grint',), ('Richard Griffiths',)"
Wolfgang Petersen,"('Brad Pitt',), ('Eric Bana',), ('Orlando Bloom',), ('Julian Glover',)"
Guillermo del Toro,"('Idris Elba',), ('Charlie Hunnam',), ('Rinko Kikuchi',), ('Charlie Day',)"
Duncan Jones,"('Jake Gyllenhaal',), ('Michelle Monaghan',), ('Vera Farmiga',), ('Jeffrey Wright',)"
Marc Webb,"('Zooey Deschanel',), ('Joseph Gordon-Levitt',), ('Geoffrey Arend',), ('Chloë Grace Moretz',)"
Todd Phillips,"('Bradley Cooper',), ('Zach Galifianakis',), ('Ed Helms',), ('Justin Bartha',)"
Glenn Ficarra,"('John Requa',), ('Steve Carell',), ('Ryan Gosling',), ('Julianne Moore',)"
John G. Avildsen,"('Sylvester Stallone',), ('Talia Shire',), ('Burt Young',), ('Carl Weathers',)"
